"AAAA","BBB"
"GPSData(longitude=16.5757, latitude=48.109, altitude=187.5, track=295.9, ground_speed=0.4)","AttitudeData(true_heading=295.9, pitch=0.03, roll=0.05)",1744314431.9440022
"GPSData(longitude=16.5757, latitude=48.109, altitude=187.5, track=295.9, ground_speed=0.5)","AttitudeData(true_heading=295.9, pitch=0.05, roll=0.06)",1744314432.9568489
"GPSData(longitude=16.5757, latitude=48.109, altitude=187.5, track=295.9, ground_speed=0.6)","AttitudeData(true_heading=295.9, pitch=0.05, roll=0.05)",1744314433.970957
"GPSData(longitude=16.5757, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=0.7)","AttitudeData(true_heading=295.9, pitch=0.04, roll=0.05)",1744314434.985522
"GPSData(longitude=16.5756, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=0.9)","AttitudeData(true_heading=295.9, pitch=0.05, roll=0.05)",1744314436.089758
"GPSData(longitude=16.5756, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=1.0)","AttitudeData(true_heading=295.9, pitch=0.05, roll=0.05)",1744314437.13132
"GPSData(longitude=16.5756, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=1.2)","AttitudeData(true_heading=295.9, pitch=0.04, roll=0.05)",1744314438.165331
"GPSData(longitude=16.5756, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=1.3)","AttitudeData(true_heading=295.9, pitch=0.03, roll=0.05)",1744314439.2697809
"GPSData(longitude=16.5756, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=1.4)","AttitudeData(true_heading=295.9, pitch=0.07, roll=0.05)",1744314440.389805
"GPSData(longitude=16.5756, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=1.8)","AttitudeData(true_heading=295.9, pitch=0.07, roll=0.05)",1744314441.431711
"GPSData(longitude=16.5755, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=2.3)","AttitudeData(true_heading=295.9, pitch=0.1, roll=0.05)",1744314442.466401
"GPSData(longitude=16.5755, latitude=48.1091, altitude=187.5, track=295.9, ground_speed=3.2)","AttitudeData(true_heading=295.9, pitch=0.14, roll=0.05)",1744314443.479261
